shell_length_mm,frequency_of_occurence,Year,breeding_group
23.07365439,1.296069229,1968,1
24.1572238,8.067030288,1968,1
25.11331445,3.096134061,1968,1
26.19688385,22.0063986,1968,1
27.1529745,21.01560188,1968,1
28.17280453,25.00021141,1968,1
29.12889518,42.91488732,1968,1
30.08498584,45.9041901,1968,1
31.10481586,40.13755585,1968,1
32.18838527,33.77418855,1968,1
33.14447592,27.80826744,1968,1
34.10056657,31.7925951,1968,1
35.05665722,16.67244514,1968,1
36.07648725,17.87098502,1968,1
37.09631728,11.10932589,1968,1
37.98866856,0.167998534,1968,1
38.75354108,4.549490508,1968,1
40.02832861,5.351147943,1968,1
40.92067989,2.569024566,1968,1
41.94050992,2.374529618,1968,1
43.02407932,0.389271771,1968,1
43.98016997,1.587529773,1968,1
45,0.199004975,1968,1
46.01983003,1.596549829,1968,1
20.17740421,1.312688037,1969,1
22.09778658,1.329758103,1969,1
23.1137222,2.338788642,1969,1
24.18700257,5.014995578,1969,1
25.16919813,14.19039287,1969,1
26.26048209,24.36675984,1969,1
27.17893163,29.20825717,1969,1
28.04283697,33.54926966,1969,1
29.10918263,55.55874829,1969,1
30.19926634,65.23510459,1969,1
31.18999694,55.74391108,1969,1
32.12818375,46.58558386,1969,1
33.18546093,42.59498187,1969,1
34.0442986,22.60261599,1969,1
35.07663748,30.44512567,1969,1
36.07136888,22.62063439,1969,1
37.03156006,22.62916942,1969,1
38.03029225,16.47138038,1969,1
38.96247786,4.812999803,1969,1
40.02735656,3.989132058,1969,1
40.77697248,5.162461978,1969,1
42.00348336,5.00669763,1969,1
43.0130177,3.349004602,1969,1
43.70848951,4.188519907,1969,1
44.34861697,4.194209929,1969,1
45.03568711,1.533650552,1969,1
10.25164122,4.0911257,1969,0
11.21615326,5.89969914,1969,0
12.23507614,3.708756232,1969,0
13.26408103,5.717902942,1969,0
14.22955326,7.926484918,1969,0
15.24799605,5.535537743,1969,0
16.22114981,10.944188,1969,0
17.23815231,7.953228021,1969,0
18.21562693,15.16191668,1969,0
19.18013898,16.97049012,1969,0
20.20914387,18.97963683,1969,0
21.10820288,20.18762847,1969,0
22.20986223,25.797421,1969,0
23.30576044,29.00716231,1969,0
24.22210289,37.41530758,1969,0
25.26839122,46.62460792,1969,0
26.24682603,54.23330512,1969,0
27.21181818,56.24188283,1969,0
28.16432783,53.05034958,1969,0
29.30295454,74.06047071,1969,0
30.35356373,85.06980946,1969,0
31.21325491,69.87745115,1969,0
32.20673272,57.08628207,1969,0
33.20741196,47.295177,1969,0
34.05846142,28.50274188,1969,0
35.02537394,31.31133666,1969,0
36.035175,25.32031267,1969,0
37.06081922,25.9294295,1969,0
38.12983207,17.93893184,1969,0
39.95547558,5.155159783,1969,0
42.00532373,5.773380655,1969,0
38.99528439,5.14662475,1969,0
40.97919941,4.96425955,1969,0
43.02328641,3.182429213,1969,0
43.85833268,4.389851846,1969,0
45.00336067,1.400029873,1969,0
22.23150358,1.405747648,1970,1
24.27207637,1.563541687,1970,1
25.23866348,4.369908677,1970,1
26.31264916,1.55604647,1970,1
27.33293556,9.651472416,1970,1
28.19212411,16.09459753,1970,1
29.2124105,27.99167636,1970,1
30.2326969,28.97966429,1970,1
31.19928401,34.26537013,1970,1
32.27326969,27.15398726,1970,1
33.2398568,28.96861871,1970,1
34.20644391,19.04771297,1970,1
35.17303103,14.08548492,1970,1
36.19331742,23.33793566,1970,1
37.2673031,14.07779246,1970,1
38.23389021,10.10729995,1970,1
39.30787589,10.1033551,1970,1
40.32816229,5.140929801,1970,1
41.24105012,1.99708081,1970,1
42.26133652,1.001597665,1970,1
43.38902148,2.154480365,1970,1
47.3627685,1.313438135,1970,1
9.343675418,1.45308586,1970,0
11.22315036,4.421388982,1970,0
12.13603819,4.252746602,1970,0
13.37112172,10.85978027,1970,0
14.23031026,13.17067398,1970,0
15.25059666,9.199984221,1970,0
16.32458234,7.212568295,1970,0
17.29116945,2.250340243,1970,0
19.27804296,3.234777806,1970,0
20.19093079,4.057870964,1970,0
21.1575179,1.574981755,1970,0
22.28520286,7.190674372,1970,0
23.25178998,4.87307442,1970,0
24.27207637,7.018087142,1970,0
25.23866348,14.12197479,1970,0
26.25894988,11.14302057,1970,0
27.17183771,18.90826249,1970,0
28.19212411,22.70616777,1970,0
29.26610979,44.52040474,1970,0
30.28639618,42.20260755,1970,0
31.25298329,48.81062743,1970,0
32.21957041,39.88145723,1970,0
33.2398568,37.06779226,1970,0
34.15274463,26.15534823,1970,0
35.22673031,22.01917198,1970,0
36.19331742,29.94950591,1970,0
37.2673031,18.21002387,1970,0
38.23389021,12.09077102,1970,0
39.20047733,10.76490661,1970,0
40.38186158,8.942385451,1970,0
41.2947494,2.823329849,1970,0
42.42243437,2.819187755,1970,0
43.38902148,1.989191108,1970,0
47.25536993,1.31383262,1970,0
27.2020687,1.39637304,1971,1
28.27143617,3.219415619,1971,1
29.28208271,5.405827649,1971,1
30.29676968,10.31953077,1971,1
31.26216338,21.96028256,1971,1
32.21058728,22.14641176,1971,1
33.28507263,27.42402306,1971,1
34.2464259,36.33748375,1971,1
35.25222392,35.25114647,1971,1
36.29707944,20.52862309,1971,1
37.25223739,25.26023744,1971,1
38.24214304,13.4465552,1971,1
39.18706523,11.26903211,1971,1
40.30922767,8.728678308,1971,1
41.19327403,5.459969427,1971,1
42.25563809,2.555707446,1971,1
43.32365875,3.469652994,1971,1
44.27019711,2.38304635,1971,1
8.23897804,1.310177173,1971,0
10.25650004,3.137529546,1971,0
11.26122061,1.323914639,1971,0
13.29032519,10.96950148,1971,0
14.2947764,8.974067165,1971,0
15.30407612,10.25138216,1971,0
16.42112068,4.256459639,1971,0
17.32267557,12.80601216,1971,0
18.38046047,6.810820275,1971,0
19.26666173,4.996666644,1971,0
20.27272911,4.092148769,1971,0
21.21926747,3.005542125,1971,0
22.22614294,2.646482468,1971,0
23.18237833,8.105374447,1971,0
24.18656018,5.928120728,1971,0
25.19155011,4.296325228,1971,0
26.25660779,3.210257308,1971,0
27.14684947,4.12339477,1971,0
28.27843959,7.94672018,1971,0
29.2963589,15.04225618,1971,0
30.30242628,14.1377383,1971,0
31.27724766,32.14216931,1971,0
32.2757729,26.14670806,1971,0
33.24843938,42.69658382,1971,0
34.26851359,51.24667506,1971,0
35.28104566,54.70582293,1971,0
36.2504798,29.07386582,1971,0
37.26651358,34.89666597,1971,0
38.25938222,25.08299719,1971,0
39.19730099,18.17816955,1971,0
40.20471518,18.18274871,1971,0
41.20162425,11.09637102,1971,0
42.31893817,5.283267901,1971,0
43.33173961,8.92423518,1971,0
44.33376656,5.292426212,1971,0
45.27572576,1.114889663,1971,0
46.28313995,1.119468818,1971,0
48.29796834,1.128627129,1971,0
27.17842573,1.386877839,1972,1
30.14920787,1.649394991,1972,1
31.09726348,1.670185684,1972,1
32.11122559,4.258211169,1972,1
33.12643514,8.030474536,1972,1
34.08696516,19.89364405,1972,1
35.16745748,25.64102327,1972,1
36.18828052,34.74235711,1972,1
37.15151333,49.17137537,1972,1
38.16027776,46.82507635,1972,1
39.11062035,49.01696983,1972,1
40.1798857,44.1062081,1972,1
41.12336735,39.78479323,1972,1
42.11009365,16.51695828,1972,1
43.18351714,15.55365616,1972,1
44.18749971,8.667778584,1972,1
45.22347108,5.483260412,1972,1
46.14389239,4.269892458,1972,1
48.1600121,1.57287754,1972,1
9.16495336,0.597108708,1972,0
10.24378243,4.765504082,1972,0
11.18871943,1.825700069,1972,0
12.13885411,3.820220566,1972,0
13.21435667,4.830648254,1972,0
14.30025457,15.70972496,1972,0
15.19924414,29.15049228,1972,0
16.22110671,39.23869102,1972,0
17.30388601,47.15717302,1972,0
18.23842767,34.34871999,1972,0
19.23159908,17.19944743,1972,0
20.2428584,17.22162417,1972,0
21.18675587,13.29495525,1972,0
22.19053053,6.211704698,1972,0
23.13546754,3.271900685,1972,0
24.14672685,3.294077425,1972,0
26.10354689,0.968569092,1972,0
27.12249876,8.293546107,1972,0
28.19072458,2.39591948,1972,0
29.13878019,2.416710173,1972,0
30.02882976,7.37043933,1972,0
31.10557976,9.565104901,1972,0
32.11871024,11.36363846,1972,0
33.07632956,20.46358626,1972,0
34.03602796,31.53726385,1972,0
35.056851,40.63859769,1972,0
36.14170936,50.5308095,1972,0
37.1026552,62.78872498,1972,0
38.05486895,66.75697528,1972,0
39.12621337,63.81994336,1972,0
40.18820197,52.00112732,1972,0
41.19426362,47.08897955,1972,0
42.24606478,25.59888747,1972,0
43.25545294,23.84470738,1972,0
44.25340621,11.23501338,1972,0
45.13326834,6.517466492,1972,0
46.26947972,5.160804461,1972,0
48.098437,1.450913173,1972,0